epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2999.38,0.83406,2.19262,1.13223,0.63879,0.56569,0.60681,0.45785,0.88573,1.33908,1.21988,0.003333,0.003333,0.003333
2,5911.22,0.76901,1.51919,1.07651,0.71868,0.64064,0.7058,0.54082,0.85314,1.0929,1.2027,0.00665983,0.00665983,0.00665983
3,8807.65,0.78902,1.50189,1.08924,0.71787,0.64639,0.70716,0.53832,0.88733,1.09615,1.21631,0.00996064,0.00996064,0.00996064
4,11691.8,0.76343,1.37349,1.07614,0.68414,0.58947,0.65124,0.486,0.96199,1.34953,1.26892,0.00991232,0.00991232,0.00991232
5,14569.5,inf,1.16983,1.04796,0.69313,0.57428,0.64233,0.48149,0.96463,1.41518,1.27241,0.00984449,0.00984449,0.00984449
6,17440.8,0.69228,1.0625,1.03406,0.68824,0.57586,0.64014,0.47943,0.97214,1.43178,1.27666,0.00975773,0.00975773,0.00975773
7,20315.4,0.67549,0.99198,1.02319,0.7005,0.58823,0.65406,0.49249,0.95976,1.38422,1.26538,0.00965239,0.00965239,0.00965239
8,23195.5,0.66394,0.94139,1.01718,0.71596,0.60874,0.67963,0.51566,0.93814,1.28596,1.24598,0.00952889,0.00952889,0.00952889
9,26076.7,0.65393,0.9028,1.01115,0.73362,0.63547,0.71321,0.54754,0.90163,1.16215,1.21773,0.00938772,0.00938772,0.00938772
10,28955.5,0.64725,0.87202,1.00824,0.76174,0.6685,0.74852,0.58096,0.86739,1.03646,1.1904,0.00922942,0.00922942,0.00922942
11,31834.6,0.64008,0.84661,1.0039,0.77628,0.69799,0.77796,0.61061,0.83591,0.93483,1.1667,0.00905463,0.00905463,0.00905463
12,34711.9,0.6344,0.82329,1.00062,0.78585,0.72498,0.80258,0.63516,0.80857,0.85342,1.14728,0.00886404,0.00886404,0.00886404
13,37589.1,0.62965,0.80433,0.99769,0.80646,0.74459,0.82178,0.65474,0.78939,0.79178,1.13318,0.00865839,0.00865839,0.00865839
14,40466.6,0.62451,0.78737,0.99561,0.81885,0.76164,0.83682,0.66949,0.77308,0.74783,1.12181,0.00843851,0.00843851,0.00843851
15,3007.69,0.626,0.79308,0.99591,0.82879,0.7703,0.84731,0.68319,0.75222,0.71326,1.10787,0.00820525,0.00820525,0.00820525
16,6003.97,0.62473,0.79111,0.99517,0.83629,0.77663,0.8552,0.69256,0.73613,0.69235,1.09784,0.00795954,0.00795954,0.00795954
17,9011.12,0.61904,0.76947,0.9917,0.83553,0.78834,0.86041,0.70018,0.72558,0.67681,1.09001,0.00770234,0.00770234,0.00770234
18,12011.8,0.61395,0.7497,0.98965,0.83784,0.79843,0.86575,0.7066,0.71857,0.6635,1.0846,0.00743468,0.00743468,0.00743468
19,14999.7,0.60812,0.72817,0.98628,0.85557,0.79206,0.87042,0.71286,0.70981,0.64939,1.07834,0.00715761,0.00715761,0.00715761
20,17973.4,0.60161,0.71036,0.98326,0.85803,0.80019,0.87538,0.7185,0.70371,0.63738,1.07427,0.00687222,0.00687222,0.00687222
21,20956.8,0.59595,0.69231,0.97986,0.86021,0.80529,0.87973,0.72368,0.69976,0.62526,1.07136,0.00657963,0.00657963,0.00657963
22,23940.4,0.58974,0.67521,0.97719,0.86844,0.80465,0.88305,0.72821,0.69398,0.61429,1.068,0.00628101,0.00628101,0.00628101
23,26922.9,0.58387,0.65734,0.97368,0.86936,0.81051,0.88645,0.73216,0.68834,0.6044,1.06327,0.00597754,0.00597754,0.00597754
24,29899.4,0.57813,0.64054,0.97103,0.86749,0.81803,0.89003,0.73658,0.68383,0.59411,1.05949,0.0056704,0.0056704,0.0056704
25,32879.1,0.57244,0.62392,0.96817,0.87578,0.81731,0.89372,0.74047,0.67917,0.58404,1.05572,0.00536081,0.00536081,0.00536081
26,35875.7,0.56675,0.60707,0.965,0.86812,0.83043,0.89709,0.74454,0.67382,0.57418,1.05154,0.00505,0.00505,0.00505
27,38874.7,0.56124,0.59126,0.9616,0.87653,0.82837,0.90045,0.74865,0.66997,0.56543,1.04803,0.00473919,0.00473919,0.00473919
28,2936.22,0.54967,0.55078,0.95648,0.87643,0.83527,0.90326,0.7528,0.66439,0.55828,1.0442,0.0044296,0.0044296,0.0044296
29,5825.67,0.54741,0.55237,0.95547,0.87821,0.83808,0.90563,0.75664,0.65978,0.5526,1.04096,0.00412246,0.00412246,0.00412246
30,8743.13,0.54248,0.53912,0.95244,0.88394,0.838,0.90767,0.75948,0.65662,0.54651,1.03833,0.00381899,0.00381899,0.00381899
31,11666.5,0.53563,0.52233,0.9495,0.88354,0.84199,0.9094,0.76249,0.65327,0.53977,1.03478,0.00352037,0.00352037,0.00352037
32,14591.7,0.53034,0.50726,0.9469,0.88104,0.84638,0.91127,0.76575,0.64984,0.5321,1.03225,0.00322778,0.00322778,0.00322778
33,17502.1,0.52275,0.4903,0.94315,0.87725,0.8549,0.9138,0.76873,0.64722,0.5244,1.0302,0.00294239,0.00294239,0.00294239
34,20414.2,0.51608,0.47254,0.93959,0.88962,0.84873,0.9157,0.77118,0.64405,0.51719,1.0279,0.00266532,0.00266532,0.00266532
