epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
15,3007.69,0.626,0.79308,0.99591,0.82879,0.7703,0.84731,0.68319,0.75222,0.71326,1.10787,0.00820525,0.00820525,0.00820525
16,6003.97,0.62473,0.79111,0.99517,0.83629,0.77663,0.8552,0.69256,0.73613,0.69235,1.09784,0.00795954,0.00795954,0.00795954
17,9011.12,0.61904,0.76947,0.9917,0.83553,0.78834,0.86041,0.70018,0.72558,0.67681,1.09001,0.00770234,0.00770234,0.00770234
18,12011.8,0.61395,0.7497,0.98965,0.83784,0.79843,0.86575,0.7066,0.71857,0.6635,1.0846,0.00743468,0.00743468,0.00743468
19,14999.7,0.60812,0.72817,0.98628,0.85557,0.79206,0.87042,0.71286,0.70981,0.64939,1.07834,0.00715761,0.00715761,0.00715761
20,17973.4,0.60161,0.71036,0.98326,0.85803,0.80019,0.87538,0.7185,0.70371,0.63738,1.07427,0.00687222,0.00687222,0.00687222
21,20956.8,0.59595,0.69231,0.97986,0.86021,0.80529,0.87973,0.72368,0.69976,0.62526,1.07136,0.00657963,0.00657963,0.00657963
22,23940.4,0.58974,0.67521,0.97719,0.86844,0.80465,0.88305,0.72821,0.69398,0.61429,1.068,0.00628101,0.00628101,0.00628101
23,26922.9,0.58387,0.65734,0.97368,0.86936,0.81051,0.88645,0.73216,0.68834,0.6044,1.06327,0.00597754,0.00597754,0.00597754
24,29899.4,0.57813,0.64054,0.97103,0.86749,0.81803,0.89003,0.73658,0.68383,0.59411,1.05949,0.0056704,0.0056704,0.0056704
25,32879.1,0.57244,0.62392,0.96817,0.87578,0.81731,0.89372,0.74047,0.67917,0.58404,1.05572,0.00536081,0.00536081,0.00536081
26,35875.7,0.56675,0.60707,0.965,0.86812,0.83043,0.89709,0.74454,0.67382,0.57418,1.05154,0.00505,0.00505,0.00505
27,38874.7,0.56124,0.59126,0.9616,0.87653,0.82837,0.90045,0.74865,0.66997,0.56543,1.04803,0.00473919,0.00473919,0.00473919
