epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
28,2936.22,0.54967,0.55078,0.95648,0.87643,0.83527,0.90326,0.7528,0.66439,0.55828,1.0442,0.0044296,0.0044296,0.0044296
29,5825.67,0.54741,0.55237,0.95547,0.87821,0.83808,0.90563,0.75664,0.65978,0.5526,1.04096,0.00412246,0.00412246,0.00412246
30,8743.13,0.54248,0.53912,0.95244,0.88394,0.838,0.90767,0.75948,0.65662,0.54651,1.03833,0.00381899,0.00381899,0.00381899
31,11666.5,0.53563,0.52233,0.9495,0.88354,0.84199,0.9094,0.76249,0.65327,0.53977,1.03478,0.00352037,0.00352037,0.00352037
32,14591.7,0.53034,0.50726,0.9469,0.88104,0.84638,0.91127,0.76575,0.64984,0.5321,1.03225,0.00322778,0.00322778,0.00322778
33,17502.1,0.52275,0.4903,0.94315,0.87725,0.8549,0.9138,0.76873,0.64722,0.5244,1.0302,0.00294239,0.00294239,0.00294239
34,20414.2,0.51608,0.47254,0.93959,0.88962,0.84873,0.9157,0.77118,0.64405,0.51719,1.0279,0.00266532,0.00266532,0.00266532
35,23325.8,0.50952,0.45683,0.93661,0.89206,0.85395,0.91817,0.77433,0.64077,0.50963,1.02548,0.00239766,0.00239766,0.00239766
36,26237.5,0.50183,0.43962,0.93243,0.90088,0.85346,0.92089,0.77733,0.63882,0.50308,1.02371,0.00214046,0.00214046,0.00214046
37,29155.6,0.49494,0.42505,0.92985,0.89267,0.86566,0.92295,0.78072,0.63576,0.49728,1.02123,0.00189475,0.00189475,0.00189475
38,32052.5,0.48766,0.40935,0.92621,0.90255,0.85991,0.92429,0.78349,0.63278,0.49167,1.01899,0.00166149,0.00166149,0.00166149
39,34960.1,0.48106,0.39584,0.92282,0.89265,0.87272,0.92585,0.78563,0.63121,0.48695,1.01754,0.00144161,0.00144161,0.00144161
40,37865.3,0.47428,0.38276,0.91938,0.90646,0.86237,0.92728,0.78743,0.62873,0.48262,1.01496,0.00123596,0.00123596,0.00123596
41,40774.7,0.46767,0.37015,0.917,0.90542,0.87079,0.92867,0.79009,0.62737,0.47883,1.01373,0.00104537,0.00104537,0.00104537
